id,age,job,marital,education,default,balance,housing,loan,y
1,58,management,married,tertiary,no,2143,yes,no,no
2,44,technician,single,secondary,no,29,yes,no,no
3,47,blue-collar,married,unknown,no,1506,yes,no,no
4,35,management,married,tertiary,no,231,yes,no,no
5,28,management,single,tertiary,no,447,yes,yes,no
6,42,entrepreneur,divorced,tertiary,yes,2,yes,no,no
7,58,retired,married,primary,no,121,yes,no,no
8,43,technician,single,secondary,no,593,yes,no,no
9,41,admin.,divorced,secondary,no,270,yes,no,no
10,29,admin.,single,secondary,no,390,yes,no,no
11,53,technician,married,secondary,no,6,yes,no,no
12,58,technician,married,unknown,no,71,yes,no,no
13,57,services,married,secondary,no,162,yes,no,no
14,51,retired,married,primary,no,229,yes,no,no
15,45,admin.,single,unknown,no,13,yes,no,no
16,57,blue-collar,married,primary,no,52,yes,no,no
17,60,retired,married,primary,no,60,yes,no,no
18,32,blue-collar,single,primary,no,23,yes,yes,no
19,25,services,married,secondary,no,50,yes,no,no
20,40,retired,married,primary,no,0,yes,yes,no
21,44,admin.,married,secondary,no,-372,yes,no,no
22,39,management,single,tertiary,no,255,yes,no,no
23,57,technician,married,secondary,no,839,no,yes,no
24,49,management,married,tertiary,no,378,yes,no,no
25,60,admin.,married,secondary,no,39,yes,yes,no
26,59,blue-collar,married,secondary,no,0,yes,no,no
27,51,management,married,tertiary,no,10635,yes,no,no
28,57,technician,divorced,secondary,no,63,yes,no,no
29,25,blue-collar,married,secondary,no,-7,yes,no,no
30,53,technician,married,secondary,no,-3,no,no,no
31,50,management,married,secondary,no,49,yes,no,no
32,60,blue-collar,married,unknown,no,104,yes,no,no
33,54,retired,married,secondary,no,529,yes,no,no
34,58,retired,married,unknown,no,96,yes,no,no
35,36,admin.,single,primary,no,-171,yes,no,no
36,58,self-employed,married,tertiary,no,-364,yes,no,no
37,55,technician,divorced,secondary,no,0,no,no,no
38,29,management,single,tertiary,no,0,yes,no,no
39,54,blue-collar,married,secondary,no,1291,yes,no,no
40,48,management,divorced,tertiary,no,-244,yes,no,no
41,32,management,married,tertiary,no,0,yes,no,no
42,42,admin.,single,secondary,no,-76,yes,no,no
43,24,technician,single,secondary,no,-103,yes,yes,no
44,38,entrepreneur,single,tertiary,no,243,no,yes,no
45,38,management,single,tertiary,no,424,yes,no,no
46,40,blue-collar,single,unknown,no,24,yes,no,no
47,46,services,married,primary,no,179,yes,no,no
48,32,admin.,married,tertiary,no,0,yes,no,no
49,57,blue-collar,married,primary,no,249,yes,no,no
50,33,services,married,secondary,no,790,yes,no,no
51,49,blue-collar,married,unknown,no,154,yes,no,no
52,60,retired,married,tertiary,no,100,no,no,no
53,55,technician,married,secondary,no,1205,yes,no,no
54,35,blue-collar,single,secondary,no,12223,yes,yes,no
55,31,services,married,secondary,no,25,yes,yes,no
56,54,management,married,secondary,no,282,yes,yes,no
57,43,technician,married,secondary,no,1937,yes,no,no
58,53,technician,married,secondary,no,384,yes,no,no
59,44,blue-collar,married,secondary,no,582,no,yes,no
60,55,services,divorced,secondary,no,91,no,no,no
61,55,services,divorced,secondary,yes,1,yes,no,no
62,45,admin.,single,secondary,no,206,yes,no,no
63,47,services,divorced,secondary,no,164,no,no,no
64,42,technician,single,secondary,no,690,yes,no,no
65,46,self-employed,married,tertiary,no,137,yes,yes,no
66,51,blue-collar,married,primary,no,173,yes,no,no
67,46,management,divorced,secondary,no,16,yes,yes,no
68,42,management,single,secondary,no,50,no,no,no
69,30,technician,married,secondary,no,152,yes,yes,no
70,60,blue-collar,married,unknown,no,54,yes,no,no
71,36,management,married,tertiary,no,101,yes,yes,no
72,60,retired,married,tertiary,no,81,yes,no,no
73,39,technician,married,secondary,no,0,yes,no,no
74,46,management,married,tertiary,no,229,yes,no,no
75,59,blue-collar,married,primary,no,179,yes,no,no
76,27,technician,single,tertiary,no,0,yes,no,no
77,44,blue-collar,married,secondary,no,54,yes,no,no
78,47,technician,married,tertiary,no,151,yes,no,no
79,59,retired,single,secondary,no,30,yes,no,no
80,45,management,married,tertiary,no,523,yes,no,no
81,46,technician,divorced,secondary,no,79,no,no,no
82,56,self-employed,married,primary,no,-34,yes,yes,no
83,36,blue-collar,married,primary,no,448,yes,no,no
84,33,management,single,tertiary,no,-67,yes,no,no
85,57,technician,married,primary,no,0,no,no,no
86,51,blue-collar,married,secondary,no,26,yes,no,no
87,34,admin.,married,unknown,no,3,yes,no,no
88,43,services,married,secondary,no,41,yes,yes,no
89,33,technician,single,secondary,no,105,yes,no,no
90,29,admin.,single,secondary,no,818,yes,yes,no
91,34,services,married,secondary,no,-16,yes,yes,no
92,31,blue-collar,married,secondary,no,0,yes,no,no
93,55,admin.,single,secondary,no,802,yes,yes,no
94,28,unemployed,single,tertiary,no,0,yes,no,no
95,23,blue-collar,married,secondary,no,94,yes,no,no
96,32,technician,single,secondary,no,0,yes,no,no
97,43,services,single,unknown,no,0,no,no,no
98,32,blue-collar,married,secondary,no,517,yes,no,no
99,46,blue-collar,married,secondary,no,265,yes,no,no
100,34,self-employed,single,secondary,no,3,yes,no,no
101,57,unemployed,married,tertiary,no,42,no,no,no
102,37,blue-collar,married,secondary,no,37,yes,no,no
103,59,blue-collar,married,secondary,no,57,yes,no,no
104,33,services,married,secondary,no,22,yes,no,no
105,56,blue-collar,divorced,primary,no,8,yes,no,no
106,48,unemployed,married,secondary,no,293,yes,no,no
107,54,blue-collar,married,primary,no,348,yes,no,no
108,26,student,single,secondary,no,0,yes,no,no
109,40,management,married,tertiary,no,-4,yes,no,no
110,39,management,married,secondary,no,18,yes,no,no
111,50,technician,married,primary,no,139,no,no,no
112,41,services,married,secondary,no,0,yes,no,no
113,51,blue-collar,married,unknown,no,1883,yes,no,no
114,48,blue-collar,married,secondary,no,904,yes,no,no
115,48,services,married,unknown,no,1705,yes,no,no
116,39,technician,single,tertiary,no,47,yes,no,no
117,47,services,single,secondary,no,176,yes,no,no
118,40,blue-collar,married,secondary,no,1225,yes,no,no
119,45,technician,married,secondary,no,86,yes,no,no
120,26,admin.,single,secondary,no,82,yes,no,no
121,52,management,married,tertiary,no,271,yes,no,no
122,54,technician,married,secondary,no,1378,yes,no,no
123,50,blue-collar,married,primary,no,0,no,no,no
124,35,blue-collar,married,secondary,no,0,yes,no,no
125,44,services,married,secondary,no,1357,yes,yes,no
126,53,entrepreneur,married,unknown,no,19,yes,no,no
127,35,retired,single,primary,no,434,no,no,no
128,60,admin.,divorced,secondary,no,92,yes,no,no
129,53,admin.,divorced,secondary,no,1151,yes,no,no
130,34,technician,married,secondary,no,51,yes,no,no
131,51,management,married,secondary,no,1161,yes,no,no
132,31,services,married,tertiary,no,37,yes,no,no
133,35,technician,divorced,secondary,no,787,yes,no,no
134,35,services,married,secondary,no,59,yes,no,no
135,38,technician,married,secondary,no,253,yes,no,no
136,36,admin.,married,tertiary,no,211,yes,no,no
137,40,services,divorced,unknown,no,4384,yes,no,no
138,54,management,married,secondary,no,4080,no,no,no
139,34,blue-collar,single,secondary,no,53,yes,yes,no
140,51,retired,married,secondary,no,2127,yes,no,no
141,33,management,married,tertiary,no,377,yes,no,no
142,55,management,married,tertiary,no,73,yes,no,no
143,42,admin.,married,secondary,no,445,yes,no,no
144,34,blue-collar,married,secondary,no,243,yes,no,no
145,38,services,married,secondary,no,155,yes,no,no
146,50,technician,divorced,tertiary,no,173,no,yes,no
147,43,management,married,tertiary,no,400,yes,no,no
148,61,blue-collar,divorced,primary,no,1428,yes,no,no
149,47,admin.,married,secondary,no,219,yes,no,no
150,44,blue-collar,married,secondary,no,575,yes,no,no
151,35,student,single,unknown,no,298,yes,no,no
152,35,services,married,secondary,no,0,yes,no,no
153,50,services,married,secondary,no,5699,yes,no,no
154,41,management,married,tertiary,no,176,yes,yes,no
155,41,management,married,tertiary,no,517,yes,no,no
156,39,services,single,unknown,no,257,yes,no,no
157,42,retired,married,secondary,no,56,yes,no,no
158,53,retired,married,secondary,no,330,yes,no,no
159,59,housemaid,divorced,primary,no,195,no,no,no
160,36,services,married,secondary,no,301,yes,no,no
161,54,blue-collar,married,primary,no,-41,yes,no,no
162,40,technician,married,tertiary,no,483,yes,no,no
163,47,unknown,married,unknown,no,28,no,no,no
164,46,housemaid,married,primary,no,965,no,no,no
165,39,management,married,tertiary,no,378,yes,yes,no
166,40,unemployed,married,secondary,no,219,yes,no,no
167,28,blue-collar,married,primary,no,324,yes,no,no
168,35,entrepreneur,divorced,secondary,no,-69,yes,no,no
169,43,technician,divorced,unknown,no,205,yes,no,no
170,48,blue-collar,married,primary,no,278,yes,no,no
171,33,management,single,tertiary,no,34,yes,no,no
172,36,blue-collar,married,unknown,no,1033,no,no,no
173,53,services,divorced,secondary,no,1467,yes,no,no
174,47,blue-collar,married,primary,no,-12,yes,no,no
175,31,services,married,secondary,no,388,yes,no,no
176,57,entrepreneur,married,secondary,no,294,yes,no,no
177,55,blue-collar,married,primary,no,627,yes,no,no
178,45,blue-collar,married,primary,no,25,yes,no,no
179,53,admin.,divorced,secondary,no,315,yes,no,no
180,37,blue-collar,married,primary,no,0,yes,no,no
181,44,admin.,divorced,secondary,no,66,yes,no,no
182,49,blue-collar,divorced,primary,no,-9,yes,yes,no
183,46,technician,married,secondary,no,349,yes,yes,no
184,43,entrepreneur,married,unknown,no,100,yes,no,no
185,38,admin.,married,secondary,no,0,no,no,no
186,43,technician,married,secondary,no,434,yes,no,no
187,49,management,married,tertiary,no,3237,yes,no,no
188,40,management,married,tertiary,no,207,yes,no,no
189,39,blue-collar,married,secondary,no,483,yes,no,no
190,49,admin.,married,secondary,no,428,yes,no,no
191,53,blue-collar,married,secondary,no,0,yes,yes,no
192,34,services,single,secondary,no,0,yes,no,no
193,33,technician,divorced,secondary,no,140,yes,no,no
194,50,management,single,tertiary,no,297,yes,no,no
195,59,entrepreneur,divorced,secondary,no,901,yes,no,no
196,30,technician,single,secondary,no,2573,yes,no,no
197,36,services,married,secondary,no,143,yes,yes,no
198,40,blue-collar,married,secondary,no,475,yes,no,no
199,53,blue-collar,married,secondary,no,70,yes,no,no
200,34,management,single,tertiary,no,318,yes,no,no
201,37,technician,married,secondary,no,275,yes,no,no
202,42,management,divorced,tertiary,no,742,yes,no,no
203,41,entrepreneur,married,primary,no,236,yes,no,no
204,30,student,single,tertiary,no,25,yes,no,no
205,37,management,single,tertiary,no,600,yes,no,no
206,40,blue-collar,married,primary,no,0,yes,no,no
207,40,blue-collar,divorced,primary,no,0,yes,no,no
208,56,entrepreneur,divorced,secondary,no,155,no,no,no
209,37,admin.,married,secondary,no,190,yes,no,no
210,59,retired,married,secondary,no,319,yes,no,no
211,39,services,divorced,secondary,no,-185,yes,no,no
212,38,services,single,secondary,no,570,yes,no,no
213,50,blue-collar,married,primary,no,61,yes,no,no
214,41,admin.,married,secondary,no,-62,yes,yes,no
215,54,technician,married,tertiary,no,258,no,no,no
216,58,blue-collar,married,primary,no,76,yes,no,no
217,30,blue-collar,single,secondary,no,0,yes,no,no
218,33,admin.,single,secondary,no,352,yes,no,no
219,47,admin.,married,secondary,no,368,yes,no,no
220,40,self-employed,married,secondary,no,672,yes,no,no
221,37,management,married,tertiary,no,58,yes,no,no
222,54,technician,single,unknown,no,447,yes,no,no
223,24,student,single,secondary,no,423,yes,no,no
224,34,technician,married,secondary,no,19,yes,no,no
225,56,technician,divorced,primary,no,13,yes,no,no
226,31,blue-collar,single,secondary,no,3,yes,no,no
227,24,student,single,secondary,no,82,yes,no,no
228,42,blue-collar,divorced,primary,no,28,yes,no,no
229,57,technician,married,secondary,no,792,yes,no,no
230,51,admin.,married,secondary,no,531,yes,no,no
231,36,services,single,secondary,no,62,yes,no,no
232,53,services,married,unknown,no,257,yes,no,no
233,50,technician,married,secondary,no,1234,yes,no,no
